frame,id,x1,y1,x2,y2,xc,yc,class,wave,video,window
59,1,256,342,689,855,472,598,palm,1,wave_train.mp4,2
60,1,308,361,725,863,516,612,palm,1,wave_train.mp4,2
61,1,339,372,740,863,539,617,palm,1,wave_train.mp4,2
62,1,339,368,732,856,535,612,palm,1,wave_train.mp4,2
63,1,314,363,703,854,508,608,palm,1,wave_train.mp4,2
64,1,267,340,667,843,467,591,palm,1,wave_train.mp4,2
65,1,208,326,636,846,422,586,palm,1,wave_train.mp4,2
66,1,217,326,646,849,431,587,palm,1,wave_train.mp4,2
67,1,236,339,672,863,454,601,palm,1,wave_train.mp4,2
68,1,293,349,713,866,503,607,palm,1,wave_train.mp4,2
69,1,324,357,731,866,527,611,palm,1,wave_train.mp4,2
70,1,323,359,722,862,522,610,palm,1,wave_train.mp4,2
71,1,280,350,684,855,482,602,palm,1,wave_train.mp4,2
72,1,224,331,643,848,433,589,palm,1,wave_train.mp4,2
73,1,173,315,619,848,396,581,palm,1,wave_train.mp4,2
74,1,174,316,634,857,404,586,palm,1,wave_train.mp4,2
75,1,223,338,672,872,447,605,palm,1,wave_train.mp4,2
76,1,283,349,711,871,497,610,palm,1,wave_train.mp4,2
77,1,313,357,723,868,518,612,palm,1,wave_train.mp4,2
78,1,304,357,705,863,504,610,palm,1,wave_train.mp4,2
79,1,266,342,669,849,467,595,palm,1,wave_train.mp4,2
80,1,201,332,618,845,409,588,palm,1,wave_train.mp4,2
81,1,147,322,591,850,369,586,palm,1,wave_train.mp4,2
82,1,145,322,608,855,376,588,palm,1,wave_train.mp4,2
83,1,199,328,649,854,424,591,palm,1,wave_train.mp4,2
84,1,257,346,689,858,473,602,palm,1,wave_train.mp4,2
85,1,295,354,711,860,503,607,palm,1,wave_train.mp4,2
86,1,294,354,699,853,496,603,palm,1,wave_train.mp4,2
87,1,264,346,668,848,466,597,palm,1,wave_train.mp4,2
88,1,202,337,625,847,413,592,palm,1,wave_train.mp4,2
89,1,160,327,595,846,377,586,palm,1,wave_train.mp4,2
90,1,161,331,610,855,385,593,palm,1,wave_train.mp4,2
91,1,197,336,645,859,421,597,palm,1,wave_train.mp4,2
92,1,242,346,682,866,462,606,palm,1,wave_train.mp4,2
93,1,287,362,709,872,498,617,palm,1,wave_train.mp4,2
94,1,296,360,702,861,499,610,palm,1,wave_train.mp4,2
95,1,259,349,668,851,463,600,palm,1,wave_train.mp4,2
96,1,195,344,622,856,408,600,palm,1,wave_train.mp4,2
67,1,236,339,672,863,454,601,palm,1,wave_train.mp4,3
68,1,293,349,713,866,503,607,palm,1,wave_train.mp4,3
69,1,324,357,731,866,527,611,palm,1,wave_train.mp4,3
70,1,323,359,722,862,522,610,palm,1,wave_train.mp4,3
71,1,280,350,684,855,482,602,palm,1,wave_train.mp4,3
72,1,224,331,643,848,433,589,palm,1,wave_train.mp4,3
73,1,173,315,619,848,396,581,palm,1,wave_train.mp4,3
74,1,174,316,634,857,404,586,palm,1,wave_train.mp4,3
75,1,223,338,672,872,447,605,palm,1,wave_train.mp4,3
76,1,283,349,711,871,497,610,palm,1,wave_train.mp4,3
77,1,313,357,723,868,518,612,palm,1,wave_train.mp4,3
78,1,304,357,705,863,504,610,palm,1,wave_train.mp4,3
79,1,266,342,669,849,467,595,palm,1,wave_train.mp4,3
80,1,201,332,618,845,409,588,palm,1,wave_train.mp4,3
81,1,147,322,591,850,369,586,palm,1,wave_train.mp4,3
82,1,145,322,608,855,376,588,palm,1,wave_train.mp4,3
83,1,199,328,649,854,424,591,palm,1,wave_train.mp4,3
84,1,257,346,689,858,473,602,palm,1,wave_train.mp4,3
85,1,295,354,711,860,503,607,palm,1,wave_train.mp4,3
86,1,294,354,699,853,496,603,palm,1,wave_train.mp4,3
87,1,264,346,668,848,466,597,palm,1,wave_train.mp4,3
88,1,202,337,625,847,413,592,palm,1,wave_train.mp4,3
89,1,160,327,595,846,377,586,palm,1,wave_train.mp4,3
90,1,161,331,610,855,385,593,palm,1,wave_train.mp4,3
91,1,197,336,645,859,421,597,palm,1,wave_train.mp4,3
92,1,242,346,682,866,462,606,palm,1,wave_train.mp4,3
93,1,287,362,709,872,498,617,palm,1,wave_train.mp4,3
94,1,296,360,702,861,499,610,palm,1,wave_train.mp4,3
95,1,259,349,668,851,463,600,palm,1,wave_train.mp4,3
96,1,195,344,622,856,408,600,palm,1,wave_train.mp4,3
97,1,137,327,588,857,362,592,palm,1,wave_train.mp4,3
98,1,140,322,600,859,370,590,palm,1,wave_train.mp4,3
99,1,194,341,642,869,418,605,palm,1,wave_train.mp4,3
100,1,224,349,674,877,449,613,palm,1,wave_train.mp4,3
101,1,279,360,706,876,492,618,palm,1,wave_train.mp4,3
102,1,286,358,696,863,491,610,palm,1,wave_train.mp4,3
103,1,257,347,668,854,462,600,palm,1,wave_train.mp4,3
104,1,203,336,627,849,415,592,palm,1,wave_train.mp4,3
105,1,143,328,581,851,362,589,palm,1,wave_train.mp4,3
106,1,137,324,587,856,362,590,palm,1,wave_train.mp4,3
77,1,313,357,723,868,518,612,palm,1,wave_train.mp4,4
78,1,304,357,705,863,504,610,palm,1,wave_train.mp4,4
79,1,266,342,669,849,467,595,palm,1,wave_train.mp4,4
80,1,201,332,618,845,409,588,palm,1,wave_train.mp4,4
81,1,147,322,591,850,369,586,palm,1,wave_train.mp4,4
82,1,145,322,608,855,376,588,palm,1,wave_train.mp4,4
83,1,199,328,649,854,424,591,palm,1,wave_train.mp4,4
84,1,257,346,689,858,473,602,palm,1,wave_train.mp4,4
85,1,295,354,711,860,503,607,palm,1,wave_train.mp4,4
86,1,294,354,699,853,496,603,palm,1,wave_train.mp4,4
87,1,264,346,668,848,466,597,palm,1,wave_train.mp4,4
88,1,202,337,625,847,413,592,palm,1,wave_train.mp4,4
89,1,160,327,595,846,377,586,palm,1,wave_train.mp4,4
90,1,161,331,610,855,385,593,palm,1,wave_train.mp4,4
91,1,197,336,645,859,421,597,palm,1,wave_train.mp4,4
92,1,242,346,682,866,462,606,palm,1,wave_train.mp4,4
93,1,287,362,709,872,498,617,palm,1,wave_train.mp4,4
94,1,296,360,702,861,499,610,palm,1,wave_train.mp4,4
95,1,259,349,668,851,463,600,palm,1,wave_train.mp4,4
96,1,195,344,622,856,408,600,palm,1,wave_train.mp4,4
97,1,137,327,588,857,362,592,palm,1,wave_train.mp4,4
98,1,140,322,600,859,370,590,palm,1,wave_train.mp4,4
99,1,194,341,642,869,418,605,palm,1,wave_train.mp4,4
100,1,224,349,674,877,449,613,palm,1,wave_train.mp4,4
101,1,279,360,706,876,492,618,palm,1,wave_train.mp4,4
102,1,286,358,696,863,491,610,palm,1,wave_train.mp4,4
103,1,257,347,668,854,462,600,palm,1,wave_train.mp4,4
104,1,203,336,627,849,415,592,palm,1,wave_train.mp4,4
105,1,143,328,581,851,362,589,palm,1,wave_train.mp4,4
106,1,137,324,587,856,362,590,palm,1,wave_train.mp4,4
107,1,172,329,628,862,400,595,palm,1,wave_train.mp4,4
108,1,229,346,674,872,451,609,palm,1,wave_train.mp4,4
109,1,284,357,707,870,495,613,palm,1,wave_train.mp4,4
110,1,296,356,701,855,498,605,palm,1,wave_train.mp4,4
111,1,266,351,667,849,466,600,palm,1,wave_train.mp4,4
112,1,219,333,626,839,422,586,palm,1,wave_train.mp4,4
113,1,160,322,594,847,377,584,palm,1,wave_train.mp4,4
114,1,178,327,612,852,395,589,palm,1,wave_train.mp4,4
115,1,212,336,649,863,430,599,palm,1,wave_train.mp4,4
116,1,273,347,692,862,482,604,palm,1,wave_train.mp4,4
87,1,264,346,668,848,466,597,palm,1,wave_train.mp4,5
88,1,202,337,625,847,413,592,palm,1,wave_train.mp4,5
89,1,160,327,595,846,377,586,palm,1,wave_train.mp4,5
90,1,161,331,610,855,385,593,palm,1,wave_train.mp4,5
91,1,197,336,645,859,421,597,palm,1,wave_train.mp4,5
92,1,242,346,682,866,462,606,palm,1,wave_train.mp4,5
93,1,287,362,709,872,498,617,palm,1,wave_train.mp4,5
94,1,296,360,702,861,499,610,palm,1,wave_train.mp4,5
95,1,259,349,668,851,463,600,palm,1,wave_train.mp4,5
96,1,195,344,622,856,408,600,palm,1,wave_train.mp4,5
97,1,137,327,588,857,362,592,palm,1,wave_train.mp4,5
98,1,140,322,600,859,370,590,palm,1,wave_train.mp4,5
99,1,194,341,642,869,418,605,palm,1,wave_train.mp4,5
100,1,224,349,674,877,449,613,palm,1,wave_train.mp4,5
101,1,279,360,706,876,492,618,palm,1,wave_train.mp4,5
102,1,286,358,696,863,491,610,palm,1,wave_train.mp4,5
103,1,257,347,668,854,462,600,palm,1,wave_train.mp4,5
104,1,203,336,627,849,415,592,palm,1,wave_train.mp4,5
105,1,143,328,581,851,362,589,palm,1,wave_train.mp4,5
106,1,137,324,587,856,362,590,palm,1,wave_train.mp4,5
107,1,172,329,628,862,400,595,palm,1,wave_train.mp4,5
108,1,229,346,674,872,451,609,palm,1,wave_train.mp4,5
109,1,284,357,707,870,495,613,palm,1,wave_train.mp4,5
110,1,296,356,701,855,498,605,palm,1,wave_train.mp4,5
111,1,266,351,667,849,466,600,palm,1,wave_train.mp4,5
112,1,219,333,626,839,422,586,palm,1,wave_train.mp4,5
113,1,160,322,594,847,377,584,palm,1,wave_train.mp4,5
114,1,178,327,612,852,395,589,palm,1,wave_train.mp4,5
115,1,212,336,649,863,430,599,palm,1,wave_train.mp4,5
116,1,273,347,692,862,482,604,palm,1,wave_train.mp4,5
117,1,314,363,715,866,514,614,palm,1,wave_train.mp4,5
118,1,316,364,709,861,512,612,palm,1,wave_train.mp4,5
119,1,277,355,675,854,476,604,palm,1,wave_train.mp4,5
120,1,220,334,630,845,425,589,palm,1,wave_train.mp4,5
121,1,155,322,591,851,373,586,palm,1,wave_train.mp4,5
122,1,143,317,591,856,367,586,palm,1,wave_train.mp4,5
123,1,190,335,631,864,410,599,palm,1,wave_train.mp4,5
124,1,217,345,668,874,442,609,palm,1,wave_train.mp4,5
125,1,279,354,707,870,493,612,palm,1,wave_train.mp4,5
126,1,291,354,706,859,498,606,palm,1,wave_train.mp4,5
97,1,137,327,588,857,362,592,palm,1,wave_train.mp4,6
98,1,140,322,600,859,370,590,palm,1,wave_train.mp4,6
99,1,194,341,642,869,418,605,palm,1,wave_train.mp4,6
100,1,224,349,674,877,449,613,palm,1,wave_train.mp4,6
101,1,279,360,706,876,492,618,palm,1,wave_train.mp4,6
102,1,286,358,696,863,491,610,palm,1,wave_train.mp4,6
103,1,257,347,668,854,462,600,palm,1,wave_train.mp4,6
104,1,203,336,627,849,415,592,palm,1,wave_train.mp4,6
105,1,143,328,581,851,362,589,palm,1,wave_train.mp4,6
106,1,137,324,587,856,362,590,palm,1,wave_train.mp4,6
107,1,172,329,628,862,400,595,palm,1,wave_train.mp4,6
108,1,229,346,674,872,451,609,palm,1,wave_train.mp4,6
109,1,284,357,707,870,495,613,palm,1,wave_train.mp4,6
110,1,296,356,701,855,498,605,palm,1,wave_train.mp4,6
111,1,266,351,667,849,466,600,palm,1,wave_train.mp4,6
112,1,219,333,626,839,422,586,palm,1,wave_train.mp4,6
113,1,160,322,594,847,377,584,palm,1,wave_train.mp4,6
114,1,178,327,612,852,395,589,palm,1,wave_train.mp4,6
115,1,212,336,649,863,430,599,palm,1,wave_train.mp4,6
116,1,273,347,692,862,482,604,palm,1,wave_train.mp4,6
117,1,314,363,715,866,514,614,palm,1,wave_train.mp4,6
118,1,316,364,709,861,512,612,palm,1,wave_train.mp4,6
119,1,277,355,675,854,476,604,palm,1,wave_train.mp4,6
120,1,220,334,630,845,425,589,palm,1,wave_train.mp4,6
121,1,155,322,591,851,373,586,palm,1,wave_train.mp4,6
122,1,143,317,591,856,367,586,palm,1,wave_train.mp4,6
123,1,190,335,631,864,410,599,palm,1,wave_train.mp4,6
124,1,217,345,668,874,442,609,palm,1,wave_train.mp4,6
125,1,279,354,707,870,493,612,palm,1,wave_train.mp4,6
126,1,291,354,706,859,498,606,palm,1,wave_train.mp4,6
127,1,255,347,677,854,466,600,palm,1,wave_train.mp4,6
128,1,197,336,635,849,416,592,palm,1,wave_train.mp4,6
129,1,151,322,607,847,379,584,palm,1,wave_train.mp4,6
130,1,147,321,613,852,380,586,palm,1,wave_train.mp4,6
131,1,195,326,654,857,424,591,palm,1,wave_train.mp4,6
132,1,270,345,700,859,485,602,palm,1,wave_train.mp4,6
133,1,302,355,714,857,508,606,palm,1,wave_train.mp4,6
134,1,301,356,703,852,502,604,palm,1,wave_train.mp4,6
135,1,267,345,671,845,469,595,palm,1,wave_train.mp4,6
136,1,200,334,624,843,412,588,palm,1,wave_train.mp4,6
107,1,172,329,628,862,400,595,palm,1,wave_train.mp4,7
108,1,229,346,674,872,451,609,palm,1,wave_train.mp4,7
109,1,284,357,707,870,495,613,palm,1,wave_train.mp4,7
110,1,296,356,701,855,498,605,palm,1,wave_train.mp4,7
111,1,266,351,667,849,466,600,palm,1,wave_train.mp4,7
112,1,219,333,626,839,422,586,palm,1,wave_train.mp4,7
113,1,160,322,594,847,377,584,palm,1,wave_train.mp4,7
114,1,178,327,612,852,395,589,palm,1,wave_train.mp4,7
115,1,212,336,649,863,430,599,palm,1,wave_train.mp4,7
116,1,273,347,692,862,482,604,palm,1,wave_train.mp4,7
117,1,314,363,715,866,514,614,palm,1,wave_train.mp4,7
118,1,316,364,709,861,512,612,palm,1,wave_train.mp4,7
119,1,277,355,675,854,476,604,palm,1,wave_train.mp4,7
120,1,220,334,630,845,425,589,palm,1,wave_train.mp4,7
121,1,155,322,591,851,373,586,palm,1,wave_train.mp4,7
122,1,143,317,591,856,367,586,palm,1,wave_train.mp4,7
123,1,190,335,631,864,410,599,palm,1,wave_train.mp4,7
124,1,217,345,668,874,442,609,palm,1,wave_train.mp4,7
125,1,279,354,707,870,493,612,palm,1,wave_train.mp4,7
126,1,291,354,706,859,498,606,palm,1,wave_train.mp4,7
127,1,255,347,677,854,466,600,palm,1,wave_train.mp4,7
128,1,197,336,635,849,416,592,palm,1,wave_train.mp4,7
129,1,151,322,607,847,379,584,palm,1,wave_train.mp4,7
130,1,147,321,613,852,380,586,palm,1,wave_train.mp4,7
131,1,195,326,654,857,424,591,palm,1,wave_train.mp4,7
132,1,270,345,700,859,485,602,palm,1,wave_train.mp4,7
133,1,302,355,714,857,508,606,palm,1,wave_train.mp4,7
134,1,301,356,703,852,502,604,palm,1,wave_train.mp4,7
135,1,267,345,671,845,469,595,palm,1,wave_train.mp4,7
136,1,200,334,624,843,412,588,palm,1,wave_train.mp4,7
137,1,142,317,593,843,367,580,palm,1,wave_train.mp4,7
138,1,156,326,610,852,383,589,palm,1,wave_train.mp4,7
139,1,192,328,644,853,418,590,palm,1,wave_train.mp4,7
140,1,252,341,684,853,468,597,palm,1,wave_train.mp4,7
141,1,289,353,704,856,496,604,palm,1,wave_train.mp4,7
142,1,296,354,698,850,497,602,palm,1,wave_train.mp4,7
143,1,269,349,670,842,469,595,palm,1,wave_train.mp4,7
144,1,205,335,624,843,414,589,palm,1,wave_train.mp4,7
145,1,150,322,586,842,368,582,palm,1,wave_train.mp4,7
146,1,135,320,582,847,358,583,palm,1,wave_train.mp4,7
117,1,314,363,715,866,514,614,palm,1,wave_train.mp4,8
118,1,316,364,709,861,512,612,palm,1,wave_train.mp4,8
119,1,277,355,675,854,476,604,palm,1,wave_train.mp4,8
120,1,220,334,630,845,425,589,palm,1,wave_train.mp4,8
121,1,155,322,591,851,373,586,palm,1,wave_train.mp4,8
122,1,143,317,591,856,367,586,palm,1,wave_train.mp4,8
123,1,190,335,631,864,410,599,palm,1,wave_train.mp4,8
124,1,217,345,668,874,442,609,palm,1,wave_train.mp4,8
125,1,279,354,707,870,493,612,palm,1,wave_train.mp4,8
126,1,291,354,706,859,498,606,palm,1,wave_train.mp4,8
127,1,255,347,677,854,466,600,palm,1,wave_train.mp4,8
128,1,197,336,635,849,416,592,palm,1,wave_train.mp4,8
129,1,151,322,607,847,379,584,palm,1,wave_train.mp4,8
130,1,147,321,613,852,380,586,palm,1,wave_train.mp4,8
131,1,195,326,654,857,424,591,palm,1,wave_train.mp4,8
132,1,270,345,700,859,485,602,palm,1,wave_train.mp4,8
133,1,302,355,714,857,508,606,palm,1,wave_train.mp4,8
134,1,301,356,703,852,502,604,palm,1,wave_train.mp4,8
135,1,267,345,671,845,469,595,palm,1,wave_train.mp4,8
136,1,200,334,624,843,412,588,palm,1,wave_train.mp4,8
137,1,142,317,593,843,367,580,palm,1,wave_train.mp4,8
138,1,156,326,610,852,383,589,palm,1,wave_train.mp4,8
139,1,192,328,644,853,418,590,palm,1,wave_train.mp4,8
140,1,252,341,684,853,468,597,palm,1,wave_train.mp4,8
141,1,289,353,704,856,496,604,palm,1,wave_train.mp4,8
142,1,296,354,698,850,497,602,palm,1,wave_train.mp4,8
143,1,269,349,670,842,469,595,palm,1,wave_train.mp4,8
144,1,205,335,624,843,414,589,palm,1,wave_train.mp4,8
145,1,150,322,586,842,368,582,palm,1,wave_train.mp4,8
146,1,135,320,582,847,358,583,palm,1,wave_train.mp4,8
147,1,167,326,615,852,391,589,palm,1,wave_train.mp4,8
148,1,206,337,660,862,433,599,palm,1,wave_train.mp4,8
149,1,269,347,700,859,484,603,palm,1,wave_train.mp4,8
150,1,297,354,711,857,504,605,palm,1,wave_train.mp4,8
151,1,293,347,691,840,492,593,palm,1,wave_train.mp4,8
152,1,251,335,648,831,449,583,palm,1,wave_train.mp4,8
153,1,167,324,587,837,377,580,palm,1,wave_train.mp4,8
154,1,125,311,564,840,344,575,palm,1,wave_train.mp4,8
155,1,147,324,593,853,370,588,palm,1,wave_train.mp4,8
156,1,212,332,650,858,431,595,palm,1,wave_train.mp4,8
127,1,255,347,677,854,466,600,palm,1,wave_train.mp4,9
128,1,197,336,635,849,416,592,palm,1,wave_train.mp4,9
129,1,151,322,607,847,379,584,palm,1,wave_train.mp4,9
130,1,147,321,613,852,380,586,palm,1,wave_train.mp4,9
131,1,195,326,654,857,424,591,palm,1,wave_train.mp4,9
132,1,270,345,700,859,485,602,palm,1,wave_train.mp4,9
133,1,302,355,714,857,508,606,palm,1,wave_train.mp4,9
134,1,301,356,703,852,502,604,palm,1,wave_train.mp4,9
135,1,267,345,671,845,469,595,palm,1,wave_train.mp4,9
136,1,200,334,624,843,412,588,palm,1,wave_train.mp4,9
137,1,142,317,593,843,367,580,palm,1,wave_train.mp4,9
138,1,156,326,610,852,383,589,palm,1,wave_train.mp4,9
139,1,192,328,644,853,418,590,palm,1,wave_train.mp4,9
140,1,252,341,684,853,468,597,palm,1,wave_train.mp4,9
141,1,289,353,704,856,496,604,palm,1,wave_train.mp4,9
142,1,296,354,698,850,497,602,palm,1,wave_train.mp4,9
143,1,269,349,670,842,469,595,palm,1,wave_train.mp4,9
144,1,205,335,624,843,414,589,palm,1,wave_train.mp4,9
145,1,150,322,586,842,368,582,palm,1,wave_train.mp4,9
146,1,135,320,582,847,358,583,palm,1,wave_train.mp4,9
147,1,167,326,615,852,391,589,palm,1,wave_train.mp4,9
148,1,206,337,660,862,433,599,palm,1,wave_train.mp4,9
149,1,269,347,700,859,484,603,palm,1,wave_train.mp4,9
150,1,297,354,711,857,504,605,palm,1,wave_train.mp4,9
151,1,293,347,691,840,492,593,palm,1,wave_train.mp4,9
152,1,251,335,648,831,449,583,palm,1,wave_train.mp4,9
153,1,167,324,587,837,377,580,palm,1,wave_train.mp4,9
154,1,125,311,564,840,344,575,palm,1,wave_train.mp4,9
155,1,147,324,593,853,370,588,palm,1,wave_train.mp4,9
156,1,212,332,650,858,431,595,palm,1,wave_train.mp4,9
157,1,271,345,690,859,480,602,palm,1,wave_train.mp4,9
158,1,302,352,705,854,503,603,palm,1,wave_train.mp4,9
159,1,295,347,688,839,491,593,palm,1,wave_train.mp4,9
160,1,252,336,647,832,449,584,palm,1,wave_train.mp4,9
161,1,183,327,598,833,390,580,palm,1,wave_train.mp4,9
162,1,134,310,567,834,350,572,palm,1,wave_train.mp4,9
163,1,131,310,578,843,354,576,palm,1,wave_train.mp4,9
164,1,189,322,626,850,407,586,palm,1,wave_train.mp4,9
165,1,260,346,669,854,464,600,palm,1,wave_train.mp4,9
166,1,297,353,694,853,495,603,palm,1,wave_train.mp4,9
137,1,142,317,593,843,367,580,palm,1,wave_train.mp4,10
138,1,156,326,610,852,383,589,palm,1,wave_train.mp4,10
139,1,192,328,644,853,418,590,palm,1,wave_train.mp4,10
140,1,252,341,684,853,468,597,palm,1,wave_train.mp4,10
141,1,289,353,704,856,496,604,palm,1,wave_train.mp4,10
142,1,296,354,698,850,497,602,palm,1,wave_train.mp4,10
143,1,269,349,670,842,469,595,palm,1,wave_train.mp4,10
144,1,205,335,624,843,414,589,palm,1,wave_train.mp4,10
145,1,150,322,586,842,368,582,palm,1,wave_train.mp4,10
146,1,135,320,582,847,358,583,palm,1,wave_train.mp4,10
147,1,167,326,615,852,391,589,palm,1,wave_train.mp4,10
148,1,206,337,660,862,433,599,palm,1,wave_train.mp4,10
149,1,269,347,700,859,484,603,palm,1,wave_train.mp4,10
150,1,297,354,711,857,504,605,palm,1,wave_train.mp4,10
151,1,293,347,691,840,492,593,palm,1,wave_train.mp4,10
152,1,251,335,648,831,449,583,palm,1,wave_train.mp4,10
153,1,167,324,587,837,377,580,palm,1,wave_train.mp4,10
154,1,125,311,564,840,344,575,palm,1,wave_train.mp4,10
155,1,147,324,593,853,370,588,palm,1,wave_train.mp4,10
156,1,212,332,650,858,431,595,palm,1,wave_train.mp4,10
157,1,271,345,690,859,480,602,palm,1,wave_train.mp4,10
158,1,302,352,705,854,503,603,palm,1,wave_train.mp4,10
159,1,295,347,688,839,491,593,palm,1,wave_train.mp4,10
160,1,252,336,647,832,449,584,palm,1,wave_train.mp4,10
161,1,183,327,598,833,390,580,palm,1,wave_train.mp4,10
162,1,134,310,567,834,350,572,palm,1,wave_train.mp4,10
163,1,131,310,578,843,354,576,palm,1,wave_train.mp4,10
164,1,189,322,626,850,407,586,palm,1,wave_train.mp4,10
165,1,260,346,669,854,464,600,palm,1,wave_train.mp4,10
166,1,297,353,694,853,495,603,palm,1,wave_train.mp4,10
167,1,303,347,688,838,495,592,palm,1,wave_train.mp4,10
168,1,269,336,654,833,461,584,palm,1,wave_train.mp4,10
169,1,204,330,607,836,405,583,palm,1,wave_train.mp4,10
170,1,151,313,573,835,362,574,palm,1,wave_train.mp4,10
171,1,157,313,598,841,377,577,palm,1,wave_train.mp4,10
